longitude,latitude,predicted_value
-100.5,18.0,95.79302
-100.5,19.0,76.85963
-100.5,19.5,82.758804
-100.5,20.0,146.30136
-100.5,20.5,84.84103
-100.5,21.0,81.16547
-100.5,21.5,145.73053
-100.5,22.0,93.04205
-100.5,23.0,70.536255
-100.5,23.5,70.938156
-100.5,24.0,71.41757
-100.5,24.5,74.974174
-100.5,25.0,76.85429
-100.5,25.5,63.346725
-100.5,26.0,60.788357
-100.5,26.5,74.00514
-100.5,27.0,72.4242
-100.5,27.5,53.226105
-100.5,28.0,64.49421
-100.5,28.5,68.62081
-100.0,17.0,42.492813
-100.0,17.5,56.56307
-100.0,18.0,37.21758
-100.0,18.5,41.794254
-100.0,19.0,59.304306
-100.0,20.0,109.86125
-100.0,20.5,81.67346
-100.0,21.0,105.22439
-100.0,21.5,111.658844
-100.0,22.0,113.70064
-100.0,22.5,74.58012
-100.0,23.0,56.580135
-100.0,23.5,77.42799
-100.0,24.0,66.77878
-100.0,24.5,64.34077
-100.0,25.0,67.18656
-100.0,25.5,70.70012
-100.0,26.0,49.350292
-100.0,26.5,53.81324
-100.0,27.0,60.10274
-100.0,27.5,52.282925
-100.0,28.0,69.47301
-99.5,17.0,34.42596
-99.5,17.5,28.1426
-99.5,18.0,24.702307
-99.5,18.5,33.585896
-99.5,19.0,45.64424
-99.5,20.0,66.865
-99.5,20.5,54.958946
-99.5,21.0,143.79594
-99.5,22.0,71.82706
-99.5,22.5,63.014774
-99.5,23.0,56.445667
-99.5,23.5,55.316647
-99.5,24.0,65.52255
-99.5,24.5,76.08833
-99.5,25.0,66.9224
-99.5,25.5,63.569954
-99.5,26.0,73.792755
-99.5,26.5,66.55722
-99.5,27.0,68.270676
-99.0,17.0,41.899055
-99.0,17.5,64.908875
-99.0,18.0,25.545973
-99.0,18.5,78.60277
-99.0,19.0,74.6474
-99.0,19.5,94.289925
-99.0,20.0,57.406887
-99.0,20.5,72.61355
-99.0,21.0,71.27478
-99.0,21.5,68.22777
-99.0,22.0,75.0341
-99.0,22.5,61.412952
-99.0,23.0,38.383
-99.0,23.5,61.971363
-99.0,24.0,60.91139
-99.0,24.5,62.518185
-99.0,25.0,65.49923
-99.0,25.5,67.922676
-99.0,26.0,68.77243
-98.5,16.5,109.2691
-98.5,17.0,42.7663
-98.5,17.5,62.965916
-98.5,18.0,24.713379
-98.5,18.5,77.60077
-98.5,19.0,73.86473
-98.5,19.5,80.70805
-98.5,20.0,74.05392
-98.5,20.5,70.441025
-98.5,21.0,67.34416
-98.5,21.5,62.48199
-98.5,22.0,64.09844
-98.5,22.5,47.821873
-98.5,23.0,56.45149
-98.5,23.5,59.73721
-98.5,24.0,68.636986
-98.5,24.5,69.99275
-98.5,25.0,65.971115
-98.5,25.5,73.05993
-98.5,26.0,71.37184
-98.0,16.5,66.01157
-98.0,17.0,40.73897
-98.0,17.5,63.30825
-98.0,18.0,64.70708
-98.0,18.5,95.46565
-98.0,19.0,86.71831
-98.0,19.5,126.577736
-98.0,20.0,146.67314
-98.0,20.5,71.32087
-98.0,21.0,66.656334
-98.0,21.5,64.69219
-98.0,22.0,65.89066
-98.0,22.5,51.771587
-98.0,23.0,58.00723
-98.0,23.5,48.780117
-98.0,24.0,64.77055
-98.0,24.5,66.46463
-98.0,25.0,70.47781
-98.0,25.5,71.865265
-98.0,26.0,68.6039
-97.5,16.0,79.89854
-97.5,16.5,61.641537
-97.5,17.0,65.56674
-97.5,17.5,62.968838
-97.5,18.0,65.92156
-97.5,18.5,87.7309
-97.5,19.0,78.312515
-97.5,19.5,96.00499
-97.5,20.0,85.23869
-97.5,20.5,64.88385
-97.5,21.0,61.38275
-97.5,25.5,69.17609
-97.0,16.0,62.533306
-97.0,16.5,53.372215
-97.0,17.0,63.447624
-97.0,17.5,62.202217
-97.0,18.0,64.73293
-97.0,18.5,80.80711
-97.0,19.0,123.31594
-97.0,19.5,91.2879
-97.0,20.0,146.09784
-96.5,16.0,29.734632
-96.5,16.5,66.13909
-96.5,17.5,64.35975
-96.5,18.0,55.443584
-96.5,18.5,74.22928
-96.5,19.0,88.522934
-96.5,19.5,131.19556
-96.0,16.0,72.75038
-96.0,16.5,67.72391
-96.0,17.0,62.00666
-96.0,17.5,62.662327
-96.0,18.0,58.870922
-96.0,18.5,63.54847
-96.0,19.0,73.656906
-95.5,16.0,27.03477
-95.5,16.5,61.994366
-95.5,17.0,64.40637
-95.5,17.5,42.84095
-95.5,18.5,74.41958
-95.0,16.5,30.319555
-95.0,17.0,37.841248
-95.0,17.5,45.572952
-95.0,18.0,55.73118
-95.0,18.5,61.80287
-94.5,16.5,33.325245
-94.5,17.0,37.161663
-94.5,17.5,38.140312
-94.5,18.0,33.916782
-94.0,16.5,29.52825
-94.0,17.0,41.36729
-94.0,17.5,51.08089
-94.0,18.0,34.558758
-93.5,16.0,39.375412
-93.5,16.5,41.176018
-93.5,17.0,65.01388
-93.5,17.5,49.144394
-93.5,18.0,39.400665
-93.0,15.5,38.633564
-93.0,16.0,71.23194
-93.0,16.5,39.25877
-93.0,17.0,44.266518
-93.0,17.5,39.2743
-93.0,18.0,40.61822
-92.5,15.0,79.17981
-92.5,15.5,43.109894
-92.5,16.0,40.96654
-92.5,16.5,29.814276
-92.5,17.0,38.886936
-92.5,17.5,39.683178
-92.5,18.0,44.39326
-92.5,18.5,44.858707
-92.0,16.0,33.35498
-92.0,16.5,46.91135
-92.0,17.0,48.379704
-92.0,17.5,40.559917
-92.0,18.0,45.16459
-92.0,18.5,39.544476
-91.5,16.5,60.659443
-91.5,17.0,48.030415
-91.5,17.5,33.271893
-91.5,18.0,36.008133
-91.0,16.5,40.93366
-91.0,17.5,37.13893
-91.0,18.0,35.53422
-91.0,18.5,40.923496
-91.0,19.0,41.90119
-90.5,18.0,59.619694
-90.5,19.0,45.079597
-90.0,18.0,61.056873
-90.0,18.5,46.2045
-90.0,19.0,47.63804
-90.0,19.5,51.396343
-90.0,20.0,50.471046
-90.0,20.5,44.99942
-90.0,21.0,45.81384
-89.5,18.0,49.024895
-89.5,18.5,53.168034
-89.5,19.0,54.68822
-89.5,19.5,59.762684
-89.5,20.0,61.74816
-89.5,20.5,60.93073
-89.5,21.0,60.476646
-89.0,18.0,55.362453
-89.0,18.5,46.69698
-89.0,19.0,49.89147
-89.0,19.5,57.122555
-89.0,20.0,58.015915
-89.0,20.5,67.45614
-89.0,21.0,73.031654
-88.5,18.5,45.75522
-88.5,19.0,55.914635
-88.5,19.5,58.208374
-88.5,20.0,63.83129
-88.5,20.5,69.741875
-88.5,21.5,61.713604
-88.0,18.5,54.338406
-88.0,19.0,56.35687
-88.0,19.5,57.706978
-88.0,20.0,60.18023
-88.0,20.5,63.066723
-88.0,21.0,63.016254
-88.0,21.5,62.066826
-87.5,19.5,65.39492
-87.5,20.0,66.259674
-87.5,20.5,67.606804
-87.5,21.0,66.56866
-87.0,21.0,58.487732
-87.0,21.5,57.107327
